# seed-sections.tsv - curated owner/repo -> sections (GitHub category cannot be inferred from URL).
# Format: <owner/repo><TAB><sections(pipe)>.  Add rows as repos are categorized; this is DATA, not code.
rohitg00/pro-workflow	triage
rohitg00/skillkit	skills
rowboatlabs/rowboat	triage
rtk-ai/rtk	skills|map
run-llama/llama_index	frameworks|map
s0xDk/ghostty-blackhole	adjacent
safishamsi/graphify	codeintel
simplifaisoul/osiris	triage
stanford-oval/storm	rag
stanfordnlp/dspy	frameworks
strands-agents/sdk-python	frameworks|map
strukto-ai/mirage	triage
supertone-inc/supertonic	adjacent
tensorlakeai/tensorlake	ingestion
thedotmack/claude-mem	memory|map
tw93/Mole	adjacent
unslothai/unsloth	tuning|map
usestrix/strix	security
vectorize-io/hindsight	memory|map
vercel-labs/wterm	adjacent
virgiliojr94/book-to-skill	skills
wandb/wandb	eval|map
zeroc00I/LLM-anonymization	security
google-gemini/gemini-cli	harnesses|map
openai/codex	harnesses|map
sst/opencode	harnesses|map
anomalyco/opencode	harnesses
langchain-ai/deepagentsjs	frameworks|harnesses
earendil-works/pi	harnesses|map
can1357/oh-my-pi	harnesses
Aider-AI/aider	harnesses|map
cline/cline	harnesses|map
charmbracelet/crush	harnesses
OpenHands/software-agent-sdk	harnesses
omnigent-ai/omnigent	harnesses|frameworks|security
alookai/alook	frameworks|harnesses
elder-plinius/T3MP3ST	security|harnesses
langchain-ai/openwiki	codeintel|memory|ingestion
Graphify-Labs/graphify	codeintel|rag|ingestion
iOfficeAI/OfficeCLI	ingestion|adjacent
mvanhorn/last30days-skill	skills
kyutai-labs/pocket-tts	serving|adjacent
Zackriya-Solutions/meetily	adjacent
Leonxlnx/taste-skill	skills|frontend
multica-ai/andrej-karpathy-skills	skills|learning
bradAGI/awesome-cli-coding-agents	harnesses
andrewyng/openworker	harnesses|frameworks
tirth8205/code-review-graph	codeintel|map
patoles/agent-flow	harnesses|eval
xai-org/grok-build	harnesses|map
taracodlabs/aiden	harnesses
NVIDIA-NeMo/labs-molt	tuning
cobusgreyling/loop-engineering	harnesses|learning
Canner/WrenAI	rag|frontend
shepherd-agents/shepherd	harnesses|security
superlinked/sie	serving|map
Giskard-AI/giskard-oss	eval|security|map
EverMind-AI/Raven	harnesses|memory
EverMind-AI/EverOS	memory
ogulcancelik/herdr	harnesses
matrixorigin/Memoria	memory
langchain-ai/langgraph	frameworks|map
crewAIInc/crewAI	frameworks|map
microsoft/semantic-kernel	frameworks|map
deepset-ai/haystack	frameworks|rag|map
pydantic/pydantic-ai	frameworks|map
huggingface/smolagents	frameworks|map
letta-ai/letta	frameworks|memory|map
microsoft/autogen	frameworks|map
langgenius/dify	frameworks|map
mastra-ai/mastra	frameworks|map
labring/FastGPT	frameworks|rag|map
camel-ai/camel	frameworks|map
mem0ai/mem0	memory|map
MemTensor/MemOS	memory|map
topoteretes/cognee	memory|map
HKUDS/LightRAG	rag|map
huggingface/trl	tuning|map
huggingface/peft	tuning|map
axolotl-ai-cloud/axolotl	tuning|map
anthropics/skills	skills|map
K-Dense-AI/scientific-agent-skills	skills|map
instructor-ai/instructor	ingestion|map
dottxt-ai/outlines	ingestion|map
NVIDIA/NeMo-Agent-Toolkit	frameworks
NVIDIA/NeMo-Guardrails	security
NVIDIA/NeMo-Aligner	tuning
NVIDIA/Megatron-LM	tuning
NVIDIA-NeMo/Speech	tuning
NVIDIA-NeMo/Megatron-Bridge	tuning
NVIDIA-NeMo/RL	tuning
NVIDIA-NeMo/Automodel	tuning
NVIDIA-NeMo/Run	tuning
NVIDIA-NeMo/Curator	ingestion
NVIDIA-NeMo/Evaluator	eval
NVIDIA-NeMo/Gym	eval
NVIDIA-NeMo/Export-Deploy	serving
NVIDIA-NeMo/Skills	skills
NVIDIA-NeMo/Nemotron	models|learning
NVIDIA-NeMo/DataDesigner	ingestion
NVIDIA-NeMo/nemo-platform	serving
NVIDIA-AI-Blueprints/aiq	frameworks|learning
NVIDIA-AI-Blueprints/rag	rag|learning
NVIDIA-AI-Blueprints/data-flywheel	eval|tuning
NVIDIA-AI-Blueprints/video-search-and-summarization	rag|learning
NVIDIA-AI-Blueprints/vulnerability-analysis	security|learning
NVIDIA-AI-Blueprints/llm-router	serving
NVIDIA-AI-Blueprints/biomedical-aiq-research-agent	learning
NVIDIA-AI-Blueprints/pdf-to-podcast	learning
NVIDIA-AI-Blueprints/ai-virtual-assistant	learning
NVIDIA-AI-Blueprints/nemotron-voice-agent	learning
NVIDIA-AI-Blueprints/bring-llms-to-nim	serving
langchain-ai/langchain-nvidia	frameworks|serving
NanoNets/Graft	codeintel|rag|harnesses
NVIDIA/cloud-native-stack	serving|adjacent
SonarSource/sonarqube-cli	codeintel|security|harnesses
danielmiessler/LifeOS	harnesses|skills|memory
deepseek-ai/deepseek-harness	harnesses|frameworks|eval
google/adk-samples	frameworks|memory|rag
shcherbak-ai/contextgem	ingestion|rag|frameworks
zhaoxuya520/reverse-skill	skills|eval|security
HKUDS/OpenSpace	skills|harnesses|eval
Evokoa/pgGraph	vectordb|rag|adjacent
semantica-agi/semantica	memory|rag|frameworks
vshulcz/deja-vu	memory|harnesses|eval
CaviraOSS/PageLM	learning|adjacent
FlashML-org/FreeToken	serving|models
MakazhanAlpamys/Soup	tuning|models
Untrivial-ai/agent-orchestrator	harnesses|frameworks|adjacent
cathrynlavery/diagram-design	skills|frontend
google/sam	adjacent
gridex/gridex	adjacent
karpathy/llm-council	frameworks|adjacent
lyogavin/airllm	serving|models
magnitudedev/browser-agent	eval|frontend|adjacent
magnitudedev/magnitude	serving|models
opensandbox-group/OpenSandbox	security|harnesses|serving
superloglabs/superlog	eval|serving|adjacent
wlsdks/ontology-atlas	codeintel|memory
